"species","latitude","longitude","source"
"Dactylorhiza sambucina",46.4657663997,8.2224128,"inat"
"Dactylorhiza sambucina",46.5209094901,8.6860624887,"inat"
"Dactylorhiza sambucina",46.0912223217,7.1801911588,"inat"
"Dactylorhiza sambucina",46.460545,6.1103055,"inat"
"Dactylorhiza sambucina",46.126025,7.080825,"inat"
"Dactylorhiza sambucina",46.1258861667,7.0797138333,"inat"
"Dactylorhiza sambucina",46.3810920531,9.0482937265,"inat"
"Dactylorhiza sambucina",46.12607,7.0811933333,"inat"
"Dactylorhiza sambucina",46.1257816667,7.0797766667,"inat"
"Dactylorhiza sambucina",46.0725047436,7.1488288584,"inat"
"Dactylorhiza sambucina",46.1251856,7.0816306997,"inat"
"Dactylorhiza sambucina",46.12229343,7.07026722,"inat"
"Dactylorhiza sambucina",46.1346291422,7.0856291056,"inat"
"Dactylorhiza sambucina",46.3512806316,8.0224105675,"inat"
"Dactylorhiza sambucina",46.3831888889,8.124525,"inat"
"Dactylorhiza sambucina",46.12841781,7.06467085,"inat"
"Dactylorhiza sambucina",46.3567341997,8.6299705,"inat"
"Dactylorhiza sambucina",46.2437484961,8.0300146246,"inat"
"Dactylorhiza sambucina",46.128675,7.042480555,"inat"
"Dactylorhiza sambucina",46.4296384853,6.1224492038,"inat"
"Dactylorhiza sambucina",45.9638461099,7.1240396165,"inat"
"Dactylorhiza sambucina",46.4322222222,8.66305,"inat"
"Dactylorhiza sambucina",46.3915549712,8.0485495897,"inat"
"Dactylorhiza sambucina",45.8990783333,7.1118945,"inat"
"Dactylorhiza sambucina",46.3513888889,7.5519444444,"inat"
"Dactylorhiza sambucina",46.2180796725,8.0358094226,"inat"
"Dactylorhiza sambucina",46.41114585,7.7687419,"inat"
"Dactylorhiza sambucina",46.41152363,7.7699867,"inat"
"Dactylorhiza sambucina",46.5376080436,8.5817062882,"inat"
"Dactylorhiza sambucina",46.4308366667,6.1251883333,"inat"
"Dactylorhiza sambucina",46.4016031031,8.6481549963,"inat"
"Dactylorhiza sambucina",46.4733754066,6.1141651659,"inat"
"Dactylorhiza sambucina",46.4732719449,6.1142035166,"inat"
"Dactylorhiza sambucina",46.53,8.8469444444,"inat"
"Dactylorhiza sambucina",46.252725,7.8339166667,"inat"
"Dactylorhiza sambucina",45.9130369812,7.1109517249,"inat"
"Dactylorhiza sambucina",45.912290518,7.1118529471,"inat"
"Dactylorhiza sambucina",45.9120815066,7.1119816931,"inat"
"Dactylorhiza sambucina",46.5263837973,8.6631401628,"inat"
"Dactylorhiza sambucina",46.3547396971,6.7914269865,"inat"
"Dactylorhiza sambucina",46.3281076,7.67009159,"inat"
"Dactylorhiza sambucina",46.3033352025,9.1242484909,"inat"
"Dactylorhiza sambucina",46.3373336333,7.6697537945,"inat"
