"eco_code","species","latitude","longitude","source","Temperatur","Moisture","Landcover","Landforms","Climate_Re","Red","Green","Blue","W_Ecosystm","color","elevation","tmax_mean_c","prec_mean_annual","NDVI"
97,"Dactylorhiza sambucina",46.3932263686,8.5416638099,"inat","Cool Temperate","Moist","Forest","Mountains","Cool Temperate Moist",6,64,0,"Cool Temperate Moist Forest on Mountains","#064000",791,10.5192307692308,163.076923076923,0.6062341796875
97,"Dactylorhiza sambucina",46.3932847116,8.5416411903,"inat","Cool Temperate","Moist","Forest","Mountains","Cool Temperate Moist",6,64,0,"Cool Temperate Moist Forest on Mountains","#064000",791,10.5192307692308,163.076923076923,0.6062341796875
97,"Dactylorhiza sambucina",46.4450216667,6.0969555,"inat","Cool Temperate","Moist","Forest","Mountains","Cool Temperate Moist",6,64,0,"Cool Temperate Moist Forest on Mountains","#064000",1249,10.15,141.461538461538,0.4340845703125
97,"Dactylorhiza sambucina",46.445022,6.096956,"gbif","Cool Temperate","Moist","Forest","Mountains","Cool Temperate Moist",6,64,0,"Cool Temperate Moist Forest on Mountains","#064000",1249,10.15,141.461538461538,0.4340845703125
97,"Dactylorhiza sambucina",46.4772789865,6.0973367204,"inat","Cool Temperate","Moist","Forest","Mountains","Cool Temperate Moist",6,64,0,"Cool Temperate Moist Forest on Mountains","#064000",1273,10.3269230769231,133.384615384615,0.399971923828125
97,"Dactylorhiza sambucina",46.122841,7.029432,"gbif","Cool Temperate","Moist","Forest","Mountains","Cool Temperate Moist",6,64,0,"Cool Temperate Moist Forest on Mountains","#064000",863,12.7884615384615,96.0769230769231,0.332626220703125
97,"Dactylorhiza sambucina",46.1281555,7.1481778333,"inat","Cool Temperate","Moist","Forest","Mountains","Cool Temperate Moist",6,64,0,"Cool Temperate Moist Forest on Mountains","#064000",602,15.0500000000001,74.3846153846154,0.581185986328125
97,"Bombus terrestris",46.4421727847,7.4691135809,"inat","Cool Temperate","Moist","Forest","Mountains","Cool Temperate Moist",6,64,0,"Cool Temperate Moist Forest on Mountains","#064000",1412,8.15000000000003,115.923076923077,0.8238134765625
97,"Dactylorhiza sambucina",46.1257555,7.2550633333,"inat","Cool Temperate","Moist","Forest","Mountains","Cool Temperate Moist",6,64,0,"Cool Temperate Moist Forest on Mountains","#064000",1827,6.26538461538468,132.230769230769,0.519573681640625
97,"Dactylorhiza sambucina",46.3283902966,7.6694481344,"inat","Cool Temperate","Moist","Forest","Mountains","Cool Temperate Moist",6,64,0,"Cool Temperate Moist Forest on Mountains","#064000",1454,8.38846153846157,92.0769230769231,0.46342138671875
97,"Dactylorhiza sambucina",46.445175,8.8452333333,"inat","Cool Temperate","Moist","Forest","Mountains","Cool Temperate Moist",6,64,0,"Cool Temperate Moist Forest on Mountains","#064000",935,11.5115384615385,99,0.38417353515625
97,"Dactylorhiza sambucina",46.4476,8.8430611111,"inat","Cool Temperate","Moist","Forest","Mountains","Cool Temperate Moist",6,64,0,"Cool Temperate Moist Forest on Mountains","#064000",952,11.5115384615385,99,0.344892431640625
97,"Dactylorhiza sambucina",46.32598,7.8709883333,"inat","Cool Temperate","Moist","Forest","Mountains","Cool Temperate Moist",6,64,0,"Cool Temperate Moist Forest on Mountains","#064000",1552,7.01153846153852,101.615384615385,0.415523779296875
97,"Dactylorhiza sambucina",46.134629,7.085629,"gbif","Cool Temperate","Moist","Forest","Mountains","Cool Temperate Moist",6,64,0,"Cool Temperate Moist Forest on Mountains","#064000",960,11.3807692307693,84.7692307692308,0.22699892578125
97,"Bombus terrestris",46.7990944444,9.8153277778,"inat","Cool Temperate","Moist","Forest","Mountains","Cool Temperate Moist",6,64,0,"Cool Temperate Moist Forest on Mountains","#064000",1815,6.65769230769234,113.692307692308,0.60174853515625
97,"Dactylorhiza sambucina",46.3566657,8.6300611,"inat","Cool Temperate","Moist","Forest","Mountains","Cool Temperate Moist",6,64,0,"Cool Temperate Moist Forest on Mountains","#064000",834,13.0730769230769,126.615384615385,0.67520087890625
97,"Dactylorhiza sambucina",46.3012529502,8.0424812453,"inat","Cool Temperate","Moist","Forest","Mountains","Cool Temperate Moist",6,64,0,"Cool Temperate Moist Forest on Mountains","#064000",1601,6.15769230769234,117.846153846154,0.8486505859375
97,"Dactylorhiza sambucina",46.3012529502,8.0424812453,"inat","Cool Temperate","Moist","Forest","Mountains","Cool Temperate Moist",6,64,0,"Cool Temperate Moist Forest on Mountains","#064000",1601,6.15769230769234,117.846153846154,0.8486505859375
97,"Dactylorhiza sambucina",46.356482193,8.0202478383,"inat","Cool Temperate","Moist","Forest","Mountains","Cool Temperate Moist",6,64,0,"Cool Temperate Moist Forest on Mountains","#064000",1590,8.47307692307697,111.923076923077,0.564855029296875
97,"Dactylorhiza sambucina",46.4346966667,6.1157445,"inat","Cool Temperate","Moist","Forest","Mountains","Cool Temperate Moist",6,64,0,"Cool Temperate Moist Forest on Mountains","#064000",1381,8.90384615384619,145,0.434486572265625
97,"Dactylorhiza sambucina",46.434705,6.1157721667,"inat","Cool Temperate","Moist","Forest","Mountains","Cool Temperate Moist",6,64,0,"Cool Temperate Moist Forest on Mountains","#064000",1381,8.90384615384619,145,0.434486572265625
97,"Dactylorhiza sambucina",46.3309747791,7.6659678509,"inat","Cool Temperate","Moist","Forest","Mountains","Cool Temperate Moist",6,64,0,"Cool Temperate Moist Forest on Mountains","#064000",1597,8.02692307692314,93.6153846153846,0.638641357421875
97,"Dactylorhiza sambucina",46.1286599636,7.077239011,"inat","Cool Temperate","Moist","Forest","Mountains","Cool Temperate Moist",6,64,0,"Cool Temperate Moist Forest on Mountains","#064000",935,12.9038461538462,76.6923076923077,0.202738439941406
97,"Dactylorhiza sambucina",46.3307536214,8.0577247623,"inat","Cool Temperate","Moist","Forest","Mountains","Cool Temperate Moist",6,64,0,"Cool Temperate Moist Forest on Mountains","#064000",1889,5.59615384615387,121.538461538462,0.604149365234375
97,"Dactylorhiza sambucina",46.1696901997,7.1507649,"inat","Cool Temperate","Moist","Forest","Mountains","Cool Temperate Moist",6,64,0,"Cool Temperate Moist Forest on Mountains","#064000",1354,9.37307692307695,117.846153846154,0.3342296875
97,"Dactylorhiza sambucina",46.128156,7.148178,"gbif","Cool Temperate","Moist","Forest","Mountains","Cool Temperate Moist",6,64,0,"Cool Temperate Moist Forest on Mountains","#064000",602,15.0500000000001,74.3846153846154,0.581185986328125
97,"Dactylorhiza sambucina",46.2815527667,7.2176722167,"inat","Cool Temperate","Moist","Forest","Mountains","Cool Temperate Moist",6,64,0,"Cool Temperate Moist Forest on Mountains","#064000",1436,8.27307692307699,129.307692307692,0.7462943359375
97,"Bombus terrestris",46.8947366667,7.5265283333,"inat","Cool Temperate","Moist","Forest","Mountains","Cool Temperate Moist",6,64,0,"Cool Temperate Moist Forest on Mountains","#064000",517,14.4576923076924,73.9230769230769,0.213123486328125
97,"Dactylorhiza sambucina",46.40012,8.64938,"inat","Cool Temperate","Moist","Forest","Mountains","Cool Temperate Moist",6,64,0,"Cool Temperate Moist Forest on Mountains","#064000",791,12.1961538461539,133.461538461538,0.567151513671875
97,"Dactylorhiza sambucina",46.0293936389,7.0881131667,"inat","Cool Temperate","Moist","Forest","Mountains","Cool Temperate Moist",6,64,0,"Cool Temperate Moist Forest on Mountains","#064000",1705,6.62692307692311,151.076923076923,0.73391455078125
97,"Dactylorhiza sambucina",46.1228405955,7.0294317976,"inat","Cool Temperate","Moist","Forest","Mountains","Cool Temperate Moist",6,64,0,"Cool Temperate Moist Forest on Mountains","#064000",863,12.7884615384615,96.0769230769231,0.332626220703125
97,"Dactylorhiza sambucina",46.4379094755,6.1145015899,"inat","Cool Temperate","Moist","Forest","Mountains","Cool Temperate Moist",6,64,0,"Cool Temperate Moist Forest on Mountains","#064000",1471,8.90384615384619,145,0.387335278320313
97,"Dactylorhiza sambucina",46.0925833333,7.181155,"inat","Cool Temperate","Moist","Forest","Mountains","Cool Temperate Moist",6,64,0,"Cool Temperate Moist Forest on Mountains","#064000",954,11.2346153846154,90.3076923076923,0.5193259765625
97,"Dactylorhiza sambucina",46.12332103,7.07042984,"inat","Cool Temperate","Moist","Forest","Mountains","Cool Temperate Moist",6,64,0,"Cool Temperate Moist Forest on Mountains","#064000",517,15.1038461538462,71.8461538461538,0.250240966796875
97,"Dactylorhiza sambucina",46.3285452,7.6709617,"inat","Cool Temperate","Moist","Forest","Mountains","Cool Temperate Moist",6,64,0,"Cool Temperate Moist Forest on Mountains","#064000",1421,8.38846153846157,92.0769230769231,0.46342138671875
97,"Dactylorhiza sambucina",46.3285452,7.6709617,"inat","Cool Temperate","Moist","Forest","Mountains","Cool Temperate Moist",6,64,0,"Cool Temperate Moist Forest on Mountains","#064000",1421,8.38846153846157,92.0769230769231,0.46342138671875
97,"Dactylorhiza sambucina",46.4831083333,6.1369583333,"inat","Cool Temperate","Moist","Forest","Mountains","Cool Temperate Moist",6,64,0,"Cool Temperate Moist Forest on Mountains","#064000",1364,9.42692307692312,143.153846153846,0.505609912109375
97,"Dactylorhiza sambucina",46.131108,7.085338,"inat","Cool Temperate","Moist","Forest","Mountains","Cool Temperate Moist",6,64,0,"Cool Temperate Moist Forest on Mountains","#064000",818,14.4576923076924,73.6153846153846,0.178467761230469
97,"Dactylorhiza sambucina",46.56425,6.2685416667,"inat","Cool Temperate","Moist","Forest","Mountains","Cool Temperate Moist",6,64,0,"Cool Temperate Moist Forest on Mountains","#064000",1489,8.34230769230771,138,0.434055078125
97,"Dactylorhiza sambucina",46.4191421269,6.0755745694,"inat","Cool Temperate","Moist","Forest","Mountains","Cool Temperate Moist",6,64,0,"Cool Temperate Moist Forest on Mountains","#064000",1340,9.6192307692308,147.230769230769,0.444726953125
97,"Dactylorhiza sambucina",46.4294821,6.1248794,"inat","Cool Temperate","Moist","Forest","Mountains","Cool Temperate Moist",6,64,0,"Cool Temperate Moist Forest on Mountains","#064000",1502,9.02692307692314,143.230769230769,0.460548046875
97,"Dactylorhiza sambucina",46.4296609,6.1175703997,"inat","Cool Temperate","Moist","Forest","Mountains","Cool Temperate Moist",6,64,0,"Cool Temperate Moist Forest on Mountains","#064000",1510,8.75000000000006,145.307692307692,0.45748349609375
97,"Dactylorhiza sambucina",46.4145175948,8.524993178,"inat","Cool Temperate","Moist","Forest","Mountains","Cool Temperate Moist",6,64,0,"Cool Temperate Moist Forest on Mountains","#064000",1072,10.1269230769231,190.230769230769,0.51527861328125
97,"Dactylorhiza sambucina",46.1130988804,7.2401401301,"inat","Cool Temperate","Moist","Forest","Mountains","Cool Temperate Moist",6,64,0,"Cool Temperate Moist Forest on Mountains","#064000",1952,5.85000000000002,131.923076923077,0.458306103515625
97,"Dactylorhiza sambucina",46.3273,7.6621416667,"inat","Cool Temperate","Moist","Forest","Mountains","Cool Temperate Moist",6,64,0,"Cool Temperate Moist Forest on Mountains","#064000",1487,8.02692307692314,93.6153846153846,0.475663671875
97,"Dactylorhiza sambucina",46.3703553379,8.2164513599,"inat","Cool Temperate","Moist","Forest","Mountains","Cool Temperate Moist",6,64,0,"Cool Temperate Moist Forest on Mountains","#064000",1602,7.12692307692311,152.846153846154,0.81769951171875
97,"Dactylorhiza sambucina",46.3703181222,8.2164159883,"inat","Cool Temperate","Moist","Forest","Mountains","Cool Temperate Moist",6,64,0,"Cool Temperate Moist Forest on Mountains","#064000",1602,7.12692307692311,152.846153846154,0.81769951171875
97,"Dactylorhiza sambucina",46.33039538,7.66582309,"inat","Cool Temperate","Moist","Forest","Mountains","Cool Temperate Moist",6,64,0,"Cool Temperate Moist Forest on Mountains","#064000",1597,8.02692307692314,93.6153846153846,0.638641357421875
97,"Dactylorhiza sambucina",46.485,8.9477777778,"inat","Cool Temperate","Moist","Forest","Mountains","Cool Temperate Moist",6,64,0,"Cool Temperate Moist Forest on Mountains","#064000",816,12.7269230769231,96.3846153846154,0.426278466796875
97,"Dactylorhiza sambucina",46.4733754066,6.1141651659,"inat","Cool Temperate","Moist","Forest","Mountains","Cool Temperate Moist",6,64,0,"Cool Temperate Moist Forest on Mountains","#064000",1382,9.51153846153846,137.615384615385,0.4245349609375
97,"Dactylorhiza sambucina",46.4467874744,6.1216963294,"inat","Cool Temperate","Moist","Forest","Mountains","Cool Temperate Moist",6,64,0,"Cool Temperate Moist Forest on Mountains","#064000",1209,10.3038461538462,143.384615384615,0.45930078125
97,"Dactylorhiza sambucina",46.32902833,7.69953333,"inat","Cool Temperate","Moist","Forest","Mountains","Cool Temperate Moist",6,64,0,"Cool Temperate Moist Forest on Mountains","#064000",1676,7.66538461538465,93.0769230769231,0.5103947265625
97,"Dactylorhiza sambucina",46.546455,7.1930916667,"inat","Cool Temperate","Moist","Forest","Mountains","Cool Temperate Moist",6,64,0,"Cool Temperate Moist Forest on Mountains","#064000",1445,8.7884615384616,128,0.435079052734375
97,"Dactylorhiza sambucina",46.143399803,7.0593831036,"inat","Cool Temperate","Moist","Forest","Mountains","Cool Temperate Moist",6,64,0,"Cool Temperate Moist Forest on Mountains","#064000",1109,10.2423076923077,87.4615384615385,0.157347314453125
97,"Dactylorhiza sambucina",46.1346291422,7.0856291056,"inat","Cool Temperate","Moist","Forest","Mountains","Cool Temperate Moist",6,64,0,"Cool Temperate Moist Forest on Mountains","#064000",960,11.3807692307693,84.7692307692308,0.22699892578125
97,"Dactylorhiza sambucina",46.5894037997,6.2728527997,"inat","Cool Temperate","Moist","Forest","Mountains","Cool Temperate Moist",6,64,0,"Cool Temperate Moist Forest on Mountains","#064000",1351,9.25769230769237,131.153846153846,0.483333203125
97,"Dactylorhiza sambucina",46.2268866667,7.43222,"inat","Cool Temperate","Moist","Forest","Mountains","Cool Temperate Moist",6,64,0,"Cool Temperate Moist Forest on Mountains","#064000",1400,9.93461538461543,67.5384615384615,0.357378491210938
97,"Dactylorhiza sambucina",46.12707864,7.07473435,"inat","Cool Temperate","Moist","Forest","Mountains","Cool Temperate Moist",6,64,0,"Cool Temperate Moist Forest on Mountains","#064000",843,12.9115384615385,76.6923076923077,0.251210620117187
97,"Bombus terrestris",47.3994111111,9.3481388889,"inat","Cool Temperate","Moist","Forest","Mountains","Cool Temperate Moist",6,64,0,"Cool Temperate Moist Forest on Mountains","#064000",718,12.6961538461539,97.8461538461538,0.20123671875
97,"Dactylorhiza sambucina",46.0095060235,7.1303032623,"inat","Cool Temperate","Moist","Forest","Mountains","Cool Temperate Moist",6,64,0,"Cool Temperate Moist Forest on Mountains","#064000",1092,11.0961538461539,114.846153846154,0.612540283203125
97,"Dactylorhiza sambucina",46.3191666667,7.843055,"inat","Cool Temperate","Moist","Forest","Mountains","Cool Temperate Moist",6,64,0,"Cool Temperate Moist Forest on Mountains","#064000",1334,9.19615384615389,84,0.381783569335937
97,"Dactylorhiza sambucina",46.0912223217,7.1801911588,"inat","Cool Temperate","Moist","Forest","Mountains","Cool Temperate Moist",6,64,0,"Cool Temperate Moist Forest on Mountains","#064000",925,12.4576923076924,86.3846153846154,0.66028291015625
97,"Dactylorhiza sambucina",46.445175,8.845233,"gbif","Cool Temperate","Moist","Forest","Mountains","Cool Temperate Moist",6,64,0,"Cool Temperate Moist Forest on Mountains","#064000",935,11.5115384615385,99,0.38417353515625
97,"Dactylorhiza sambucina",46.4633685673,6.1139207253,"inat","Cool Temperate","Moist","Forest","Mountains","Cool Temperate Moist",6,64,0,"Cool Temperate Moist Forest on Mountains","#064000",1306,9.82692307692309,138.615384615385,0.457595849609375
97,"Dactylorhiza sambucina",46.12794844,7.07261335,"inat","Cool Temperate","Moist","Forest","Mountains","Cool Temperate Moist",6,64,0,"Cool Temperate Moist Forest on Mountains","#064000",823,12.9115384615385,76.6923076923077,0.25121220703125
97,"Dactylorhiza sambucina",46.1898583333,7.1531055556,"inat","Cool Temperate","Moist","Forest","Mountains","Cool Temperate Moist",6,64,0,"Cool Temperate Moist Forest on Mountains","#064000",1760,6.38076923076926,144.230769230769,0.47491123046875
97,"Dactylorhiza sambucina",46.12806542,7.07241083,"inat","Cool Temperate","Moist","Forest","Mountains","Cool Temperate Moist",6,64,0,"Cool Temperate Moist Forest on Mountains","#064000",823,12.9115384615385,76.6923076923077,0.25121220703125
97,"Dactylorhiza sambucina",46.2236202024,8.017184101,"inat","Cool Temperate","Moist","Forest","Mountains","Cool Temperate Moist",6,64,0,"Cool Temperate Moist Forest on Mountains","#064000",1824,5.65769230769234,152.615384615385,0.472252490234375
97,"Dactylorhiza sambucina",46.1281115799,7.07242029,"inat","Cool Temperate","Moist","Forest","Mountains","Cool Temperate Moist",6,64,0,"Cool Temperate Moist Forest on Mountains","#064000",823,12.9115384615385,76.6923076923077,0.25121220703125
97,"Dactylorhiza sambucina",46.367575,8.2214273,"inat","Cool Temperate","Moist","Forest","Mountains","Cool Temperate Moist",6,64,0,"Cool Temperate Moist Forest on Mountains","#064000",1660,6.31153846153848,160.384615384615,0.74513115234375
97,"Dactylorhiza sambucina",46.12229343,7.07026722,"inat","Cool Temperate","Moist","Forest","Mountains","Cool Temperate Moist",6,64,0,"Cool Temperate Moist Forest on Mountains","#064000",517,15.1038461538462,71.8461538461538,0.250236108398438
