"species","latitude","longitude","source"
"Bombus terrestris",46.2259888565,6.2263568042,"inat"
"Bombus terrestris",47.4666905372,7.9107937219,"inat"
"Bombus terrestris",47.088935,8.248634,"inat"
"Bombus terrestris",47.4085885287,8.5061789677,"inat"
"Bombus terrestris",47.2690474784,8.6877495142,"inat"
"Bombus terrestris terrestris",47.56677,7.596504,"inat"
"Bombus terrestris",46.4631776101,6.8444557136,"inat"
"Bombus terrestris",46.1991833333,6.163125,"inat"
"Bombus terrestris terrestris",47.578791,8.886038,"inat"
"Bombus terrestris",47.5826033333,7.6665166667,"inat"
"Bombus terrestris",47.1395743,7.3747968,"inat"
"Bombus terrestris",46.4008366667,6.1941616667,"inat"
"Bombus terrestris",47.1674084,7.4280921,"inat"
"Bombus terrestris",47.4316783333,9.1344583333,"inat"
"Bombus terrestris",46.9507815469,7.4222590774,"inat"
"Bombus terrestris",47.3188966667,8.5533783333,"inat"
"Bombus terrestris",46.4531856136,6.8582956884,"inat"
"Bombus terrestris",46.4586723091,6.8705074733,"inat"
"Bombus terrestris",46.3961473493,6.9002386216,"inat"
"Bombus terrestris",47.5829866667,7.6635666667,"inat"
"Bombus terrestris",46.2798366667,6.1539833333,"inat"
"Bombus terrestris",46.4738995693,6.8010091089,"inat"
"Bombus terrestris",46.4060592067,6.9232494477,"inat"
"Bombus terrestris",47.3477815394,8.5595134703,"inat"
"Bombus terrestris",47.1522531,7.4039324,"inat"
"Bombus terrestris",46.5197972222,6.5740111111,"inat"
"Bombus terrestris",46.3396766472,6.1865311861,"inat"
"Bombus terrestris",47.5060299962,7.8053194763,"inat"
"Bombus terrestris",46.7393885917,7.5982642718,"inat"
"Bombus terrestris",47.1964034489,7.4086702947,"inat"
"Bombus terrestris",47.2691570226,8.5020590946,"inat"
"Bombus terrestris",47.3782283333,8.5814633333,"inat"
"Bombus terrestris",47.52295,8.2153888833,"inat"
"Bombus terrestris",47.3587156318,8.5588072613,"inat"
"Bombus terrestris",46.8813533333,7.4982616667,"inat"
"Bombus terrestris",47.2351383333,8.8590883333,"inat"
"Bombus terrestris",47.1641368,8.5142173997,"inat"
"Bombus terrestris",46.6734402455,7.7045025676,"inat"
"Bombus terrestris",47.5590517816,7.5820866695,"inat"
"Bombus terrestris",47.5306402,7.6166173,"inat"
"Bombus terrestris",46.5886888889,6.7067111111,"inat"
"Bombus terrestris",46.4072502529,8.973312825,"inat"
"Bombus terrestris",46.1454377935,6.1081710415,"inat"
"Bombus terrestris",46.3482442603,8.0127709812,"inat"
"Bombus terrestris",47.0873311116,8.2725539232,"inat"
"Bombus terrestris",47.3583965299,8.5622595996,"inat"
"Bombus terrestris",47.3711583333,8.5336133333,"inat"
"Bombus terrestris",47.29067,8.5580116667,"inat"
"Bombus terrestris",46.8124466667,7.2185166667,"inat"
"Bombus terrestris",47.0260099722,9.514326,"inat"
"Bombus terrestris",46.004025,8.9561444444,"inat"
"Bombus terrestris",46.4334135744,6.9619571418,"inat"
"Bombus terrestris",46.7855955049,7.3800994707,"inat"
"Bombus terrestris",47.155802233,8.2977901027,"inat"
"Bombus terrestris",47.112,8.7768083333,"inat"
"Bombus terrestris",46.3482358231,8.012759194,"inat"
"Bombus terrestris",47.5564222222,8.7491611111,"inat"
"Bombus terrestris",47.4018864471,8.1659773087,"inat"
"Bombus terrestris",47.4192116667,9.3302283333,"inat"
"Bombus terrestris",47.4207916667,9.3334866667,"inat"
"Bombus terrestris",47.4443992893,8.1041273109,"inat"
"Bombus terrestris",47.5009365184,7.5907044858,"inat"
"Bombus terrestris",46.22042704,6.15110342,"inat"
"Bombus terrestris",47.4487213344,7.5225829039,"inat"
"Bombus terrestris",47.1257278333,8.1904966667,"inat"
"Bombus terrestris",47.5765371244,7.6536076323,"inat"
"Bombus terrestris",46.8113106,7.5145406,"inat"
"Bombus terrestris",47.1120028333,8.7769916667,"inat"
"Bombus terrestris",47.3006541812,7.9683380965,"inat"
"Bombus terrestris",45.998885464,8.897549808,"inat"
"Bombus terrestris",46.7800944444,8.3212305556,"inat"
"Bombus terrestris",47.39793,8.5513083333,"inat"
"Bombus terrestris",46.1750030517,6.0603494642,"inat"
"Bombus terrestris",46.4572952495,6.5233738284,"inat"
"Bombus terrestris",46.1930655997,6.1664067997,"inat"
"Bombus terrestris",46.7393731169,7.5980197847,"inat"
"Bombus terrestris",47.5204772949,7.6839199066,"inat"
"Bombus terrestris",46.7293442408,7.6688440736,"inat"
"Bombus terrestris",46.5343854374,6.6551598723,"inat"
"Bombus terrestris",46.4633333333,8.9413888889,"inat"
"Bombus terrestris",46.37658,8.02565,"inat"
"Bombus terrestris",46.249355,7.3237616667,"inat"
"Bombus terrestris",46.3326222222,7.4824138889,"inat"
"Bombus terrestris",47.268755,8.6907366667,"inat"
"Bombus terrestris",47.351767631,7.9017626122,"inat"
"Bombus terrestris",47.4317216667,9.1343971667,"inat"
"Bombus terrestris",47.6571259822,9.1252967312,"inat"
"Bombus terrestris",46.3263682434,8.0031452692,"inat"
"Bombus terrestris",47.2142401738,8.9860653857,"inat"
"Bombus terrestris",47.2084649259,8.9843279798,"inat"
"Bombus terrestris",47.0251330997,7.4675137997,"inat"
"Bombus terrestris",47.1119611667,8.77703,"inat"
"Bombus terrestris",47.3943746202,9.6661614916,"inat"
"Bombus terrestris",47.38397,8.3307216667,"inat"
"Bombus terrestris",47.5306402,7.6166173,"inat"
"Bombus terrestris",46.5848888889,7.0830388889,"inat"
"Bombus terrestris",46.7406216667,7.597445,"inat"
"Bombus terrestris",46.5242246191,6.6801260412,"inat"
"Bombus terrestris",46.1739366667,8.7556416667,"inat"
"Bombus terrestris",46.4629568136,8.9408192039,"inat"
"Bombus terrestris",46.5343854374,6.6551598723,"inat"
"Bombus terrestris",46.4629847581,8.9409258217,"inat"
"Bombus terrestris",46.5232120686,6.6409032533,"inat"
"Bombus terrestris",46.5343769652,6.6552913005,"inat"
"Bombus terrestris",46.5343585137,6.6552886183,"inat"
"Bombus terrestris",46.302375,7.6885783333,"inat"
"Bombus terrestris",47.5341459419,7.5978390496,"inat"
"Bombus",46.0599,7.54695,"inat"
"Bombus",46.0599,7.54695,"inat"
"Bombus",46.0599,7.54695,"inat"
"Bombus terrestris",47.5736990813,8.5400519665,"inat"
"Bombus terrestris",46.5344444444,6.6552777778,"inat"
"Bombus terrestris",46.1319416667,8.7345866667,"inat"
"Bombus terrestris",45.923175,8.9114194444,"inat"
"Bombus terrestris",47.4790491,7.6170412,"inat"
"Bombus terrestris",47.0751669157,7.3427852243,"inat"
"Bombus terrestris",47.5306402,7.6166173,"inat"
"Bombus terrestris",47.0289919975,8.3097088389,"inat"
"Bombus terrestris",46.1641055,8.9459033333,"inat"
"Bombus terrestris",47.3820333333,9.1860366667,"inat"
"Bombus terrestris",47.4790465686,7.6170410961,"inat"
"Bombus terrestris",47.3519133333,8.3559883333,"inat"
"Bombus terrestris",47.2688116667,8.69198,"inat"
"Bombus terrestris",47.3347596565,7.1371700774,"inat"
"Bombus terrestris",47.6273061599,9.21007082,"inat"
"Bombus terrestris",47.3868721251,8.4222888574,"inat"
"Bombus terrestris",47.2014071811,8.6792423185,"inat"
"Bombus terrestris",47.0107710997,6.9793336,"inat"
"Bombus terrestris",46.94952,7.86955333,"inat"
"Bombus terrestris",47.227524462,7.9485517951,"inat"
"Bombus terrestris",47.514003564,8.7651311606,"inat"
"Bombus terrestris",47.1296035857,9.2158498988,"inat"
"Bombus terrestris",47.3868662259,7.9520631508,"inat"
"Bombus terrestris",46.80717,10.24205,"inat"
"Bombus terrestris",47.2792561654,8.532552311,"inat"
"Bombus terrestris",47.1788167736,8.5128261045,"inat"
"Bombus terrestris",47.3619916667,8.048625,"inat"
"Bombus terrestris",47.0862279561,7.5214102864,"inat"
"Bombus terrestris",46.5113399699,6.3110923022,"inat"
"Bombus terrestris",47.3694534302,7.3456392288,"inat"
"Bombus terrestris",46.9393016,7.4336878997,"inat"
"Bombus terrestris",46.1328558005,5.9641385497,"inat"
"Bombus terrestris",47.3817837442,8.0298759788,"inat"
"Bombus terrestris",46.9226528185,6.9759574035,"inat"
"Bombus terrestris",47.5326004028,7.6131644249,"inat"
"Bombus terrestris",46.6577449967,6.4963038638,"inat"
"Bombus terrestris",46.7173538078,7.6896218397,"inat"
"Bombus terrestris",46.4903908714,7.6205415311,"inat"
"Bombus terrestris",46.4098930358,6.9317760467,"inat"
"Bombus terrestris",47.4498595895,8.5289311568,"inat"
"Bombus terrestris",47.3932013779,8.0026138904,"inat"
"Bombus terrestris",46.9490934444,7.8691221587,"inat"
"Bombus terrestris",46.5434565589,6.6762914108,"inat"
"Bombus terrestris",47.5032849559,7.6148235132,"inat"
"Bombus terrestris",47.493876644,7.6221672537,"inat"
"Bombus terrestris",47.4937888883,7.6218583333,"inat"
"Bombus terrestris",47.0369928931,6.8344672153,"inat"
"Bombus terrestris",47.0269349709,8.9937565642,"inat"
"Bombus terrestris",47.414489,8.6835699722,"inat"
"Bombus terrestris",46.21236333,9.04198883,"inat"
"Bombus terrestris",47.2450511952,8.4605260938,"inat"
"Bombus terrestris",46.8298457631,7.1949700266,"inat"
"Bombus terrestris",47.3647235017,7.8931901624,"inat"
"Bombus terrestris",46.21171,7.20349,"inat"
"Bombus terrestris",46.3278767382,7.0291534827,"inat"
"Bombus terrestris",47.337978399,8.5209720209,"inat"
"Bombus terrestris",47.4718751101,8.1301367152,"inat"
"Bombus terrestris",47.4742531944,7.7412321944,"inat"
"Bombus terrestris",46.2104527778,7.2054166667,"inat"
"Bombus terrestris",46.3716138889,7.6212805556,"inat"
"Bombus terrestris",47.1675833333,9.4715966667,"inat"
"Bombus terrestris",47.5711438319,8.2350448836,"inat"
"Bombus terrestris",46.3113382611,7.4248078465,"inat"
"Bombus",46.5270548,6.6218661,"inat"
"Bombus terrestris",46.2360967309,6.0708035725,"inat"
"Bombus terrestris",47.4246587757,9.3767173961,"inat"
"Bombus terrestris",47.3586401544,8.5599222608,"inat"
"Bombus terrestris",47.3839402,8.6310803,"inat"
"Bombus terrestris",47.45483,8.61548333,"inat"
"Bombus terrestris",46.5356587838,6.6596740178,"inat"
"Bombus terrestris",47.4759334,9.1867441,"inat"
"Bombus terrestris",47.4834327697,8.1720056533,"inat"
"Bombus terrestris",46.2106388889,7.2046666667,"inat"
"Bombus terrestris",47.4216201869,8.507564439,"inat"
"Bombus terrestris",47.3038103013,8.526157653,"inat"
"Bombus terrestris",47.3486237938,8.5174220117,"inat"
"Bombus terrestris",47.3382817199,8.5209800676,"inat"
"Bombus terrestris",46.9306861111,7.4679027778,"inat"
"Bombus terrestris",47.3761286294,8.4997517243,"inat"
"Bombus terrestris",47.351326962,8.5240277275,"inat"
"Bombus terrestris",47.3339010053,8.5087723285,"inat"
"Bombus terrestris",47.379854049,8.4850304201,"inat"
"Bombus terrestris",46.1541412795,8.6375570726,"inat"
"Bombus terrestris",46.3603796743,6.0310973837,"inat"
"Bombus terrestris",46.2258827,6.252794,"inat"
"Bombus terrestris",46.2104916667,7.20485,"inat"
"Bombus terrestris",46.7340783333,7.66898,"inat"
"Bombus terrestris",46.9997444444,6.9398833333,"inat"
"Bombus terrestris",47.1473356775,6.9859873083,"inat"
"Bombus terrestris",46.9927633333,7.46697,"inat"
"Bombus terrestris",46.207505,6.142775,"inat"
"Bombus terrestris",46.567629451,7.8848758916,"inat"
"Bombus terrestris",46.1764574204,6.0263780574,"inat"
"Bombus terrestris",47.566797,7.596312,"inat"
"Bombus terrestris",46.5774531713,7.9127945661,"inat"
"Bombus terrestris",46.7990944444,9.8153277778,"inat"
"Bombus terrestris",47.0031555556,6.9503027778,"inat"
"Bombus terrestris",45.98187,8.91842,"inat"
